,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
1593,3k,dad,49,2.58,1.17,731,292,173
1372,3k,count,17,2.61,0.98,92,57,57
1530,3k,cry,44,2.78,1.66,187,147,89
2026,3k,eat,150,2.78,1.48,1051,585,499
128,3k,bad,78,2.79,1.27,421,301,236
0,cdi,I,,2.790163,1.26,,,
1786,3k,dog,211,2.8,1.2,1241,566,397
87,3k,ask,65,2.89,1.37,339,309,266
264,3k,bed,165,2.89,1.41,675,405,316
330,3k,big,383,2.89,1.08,2826,1342,969
2,lcnl,a,4838,2.893384,1.21,21811,19884,23168
156,3k,ball,70,2.9,1.22,587,304,248
1812,3k,door,155,3.05,1.15,818,782,668
2413,3k,fly,85,3.05,1.18,396,182,110
1228,lcnl,clothes,50,3.11,1.41,155,192,179
222,3k,bath,32,3.23,1.56,26,31,24
2249,3k,fire,74,3.25,1.16,290,394,318
2441,3k,food,69,3.25,1.21,454,529,663
75,3k,arm,13,3.26,1.56,180,189,161
850,3k,cake,50,3.26,2.28,259,68,40
1920,3k,drop,7,3.26,1.33,63,59,47
828,3k,bye,58,3.280385,2.16,,,
2177,3k,fell,83,3.280385,1.2,294,238,186
1308,3k,come,287,3.32,1.42,2052,1374,1231
885,3k,car,122,3.37,1.95,741,492,370
1134,3k,clap,14,3.4,1.73,26,5,8
250,3k,bean,6,3.42,1.12,21,24,17
950,3k,chair,24,3.43,1.33,108,130,133
2446,3k,foot,38,3.44,1.38,152,134,140
2084,lcnl,eyes,111,3.443482,1.36,487,652,712
1901,3k,drink,29,3.47,1.31,181,126,96
1647,lcnl,day,376,3.5,1.58,1977,1582,1439
1952,3k,duck,72,3.5,1.64,390,50,20
350,3k,bird,112,3.52,1.66,540,167,118
463,3k,blue,144,3.53,1.68,369,202,216
368,3k,black,98,3.56,1.92,261,293,309
1552,3k,cup,36,3.57,1.99,41,55,43
252,3k,bear,197,3.58,1.68,902,320,165
359,3k,bite,24,3.58,1.3,54,46,43
639,3k,bread,58,3.58,1.61,142,102,83
1268,3k,coat,25,3.58,1.22,120,82,83
1770,3k,do,693,3.6,1.6,4560,3284,3113
1231,3k,cloud,12,3.63,1.57,94,47,30
2014,3k,ear,32,3.63,1.92,28,74,70
2460,3k,fork,5,3.63,1.86,13,13,10
582,3k,boy,129,3.67,1.88,952,675,614
529,3k,book,82,3.68,1.8,641,317,309
914,3k,cat,245,3.68,1.52,904,215,162
1793,3k,doll,2,3.68,1.34,61,30,27
1238,3k,clown,12,3.72,1.93,41,20,10
820,3k,butt,5,3.73,1.86,0,3,3
78,lcnl,arms,28,3.738636,2.14,110,150,166
2135,3k,fast,111,3.738636,1.33,610,347,221
1366,3k,couch,2,3.74,1.85,1,12,11
1626,3k,dark,83,3.74,1.37,324,340,310
2082,lcnl,eye,23,3.75,1.71,49,118,131
2089,3k,face,61,3.75,2.2,376,435,483
741,3k,brush,29,3.78,1.59,68,39,45
525,3k,boo,4,3.781264,2.29,15,8,0
759,3k,bug,6,3.79,1.72,107,26,9
100,3k,aunt,11,3.8,1.61,147,179,144
1756,3k,dirt,24,3.83,1.15,103,81,66
487,3k,boat,47,3.84,1.46,379,207,132
809,3k,bus,96,3.85,1.57,349,228,132
2130,3k,farm,15,3.85,1.5,161,138,122
288,3k,bell,48,3.89,1.68,248,108,80
542,3k,boot,,3.89,1.84,6,11,8
1155,3k,clean,41,3.89,1.49,258,163,134
1428,3k,crawl,6,3.89,1.23,17,12,16
2043,3k,egg,38,3.89,1.85,133,90,53
34,3k,air,71,3.94,1.55,314,415,516
1384,3k,cow,59,3.94,1.63,154,66,48
1298,3k,cold,86,3.95,1.79,394,322,365
458,3k,blow,23,4,1.76,110,61,49
93,lcnl,at,799,4.037032,1.37,5635,5090,5491
1017,3k,chew,15,4.05,1.51,7,11,12
1891,3k,dress,26,4.05,1.61,70,67,71
2259,3k,fish,115,4.05,1.61,908,366,237
312,3k,best,105,4.090317,1.66,395,372,339
649,3k,breathe,1,4.11,1.88,30,37,39
1871,3k,draw,13,4.11,1.13,134,69,72
1946,3k,dry,26,4.11,1.33,137,133,170
1292,3k,coin,4,4.17,1.25,8,10,10
2166,3k,feed,13,4.17,1.58,86,75,65
1727,3k,dig,33,4.19,2.34,108,52,45
728,3k,brown,77,4.196887,1.31,264,162,151
295,3k,bench,1,4.21,1.81,55,30,29
1037,3k,chin,16,4.22,4.1,26,24,28
1322,3k,cook,15,4.22,1.31,161,76,53
45,3k,all,1080,4.239515,1.4,3931,3788,3965
575,3k,bowl,14,4.26,2.28,59,64,38
963,3k,change,21,4.26,1.66,137,214,217
1579,3k,cute,6,4.26,1.45,6,18,11
131,3k,bag,38,4.28,1.56,252,170,124
404,3k,bleed,1,4.28,1.56,1,1,1
2065,3k,end,93,4.28,2.61,296,327,384
580,3k,box,86,4.3,1.66,653,267,174
59,3k,ant,2,4.32,1.57,114,27,13
869,3k,can,507,4.32,2.26,5068,2608,2656
1368,3k,cough,4,4.32,2.11,1,4,7
2054,lcnl,elf,4,4.32,2.4,,,
1005,3k,cheese,37,4.33,1.75,32,31,32
1826,lcnl,dot,23,4.33,1.41,59,12,7
777,3k,bump,40,4.35,1.6,67,41,14
19,3k,age,1,4.38,1.36,29,62,91
2255,3k,first,138,4.388713,1.31,745,994,1181
2451,3k,for,1177,4.388713,1.97,5851,5615,6423
692,3k,bring,34,4.42,2.46,171,175,190
1207,3k,clock,16,4.42,1.46,112,67,60
1578,3k,cut,32,4.43,1.72,316,241,205
2373,3k,floor,56,4.44,1.98,246,227,250
762,3k,build,28,4.45,1.57,41,100,96
954,3k,chalk,5,4.47,1.17,6,7,11
190,3k,barn,20,4.5,1.62,50,81,79
1221,3k,close,38,4.5,1.82,206,269,251
1973,3k,dumb,5,4.5,1.5,28,27,21
2269,3k,five,59,4.50594,1.36,168,226,224
319,3k,bib,1,4.53,4.25,,,
773,3k,bull,15,4.53,2.29,25,15,22
1722,3k,die,10,4.53,1.78,44,93,62
54,3k,and,6832,4.569882,1.94,17513,19697,24657
1326,3k,cool,14,4.58,2.32,60,93,113
2262,3k,fist,1,4.58,1.64,4,18,16
817,3k,but,1097,4.601853,2.45,5172,4711,5113
915,3k,catch,53,4.61,2.07,187,192,146
1355,3k,corn,24,4.61,2.64,42,85,84
292,3k,belt,,4.62,2.09,38,33,31
1051,lcnl,chirp,2,4.63,1.71,,,
1615,3k,dance,89,4.63,1.57,55,60,51
1940,3k,drum,16,4.63,2.19,21,12,19
801,lcnl,burp,3,4.67,1.88,,,
1313,3k,cone,5,4.67,2.57,14,10,9
343,3k,bin,3,4.68,2.67,1,5,4
554,3k,born,22,4.68,1.97,30,95,119
1150,3k,claw,2,4.7,2.2,6,4,2
2115,3k,fall,45,4.71,2.63,273,173,174
797,3k,burn,,4.72,1.87,35,42,36
855,3k,call,76,4.74,1.85,341,315,268
1069,3k,choose,22,4.74,1.79,12,51,60
